Stations_ID;Stationsname;Geo. Laenge [Grad];Geo. Breite [Grad];Stationshoehe [m];Geberhoehe ueber Grund [m];Von_Datum;Bis_Datum;Geraetetyp Name;Messverfahren;eor;
853;Chemnitz;12.89;50.81;357;4.4;18820101;18851231;Minimumthermometer;Temperaturmessung, konv.;eor;
853;Chemnitz;12.89;50.81;357;2;18861201;19060105;Minimumthermometer;Temperaturmessung, konv.;eor;
853;Chemnitz;12.89;50.81;357;2;19280401;19341231;Minimumthermometer;Temperaturmessung, konv.;eor;
853;Chemnitz;12.89;50.81;357;1.7;19350101;19450228;Minimumthermometer;Temperaturmessung, konv.;eor;
853;Chemnitz;12.89;50.81;357;2;19460521;19760506;Minimumthermometer;Temperaturmessung, konv.;eor;
853;Chemnitz;12.87;50.79;416.11;2;19760507;20060426;Minimumthermometer;Temperaturmessung, konv.;eor;
853;Chemnitz;12.87;50.79;416.11;2;19810301;19860818;PT 100 (Luft);Temperaturmessung, elektr.;eor;
853;Chemnitz;12.87;50.79;416.11;2;19870507;19870524;PT 100 (Luft);Temperaturmessung, elektr.;eor;
853;Chemnitz;12.87;50.79;416.11;2;19870729;19870730;PT 100 (Luft);Temperaturmessung, elektr.;eor;
853;Chemnitz;12.87;50.79;416.11;2;19871111;19871128;PT 100 (Luft);Temperaturmessung, elektr.;eor;
853;Chemnitz;12.87;50.79;416.11;2;19880517;20240328;PT 100 (Luft);Temperaturmessung, elektr.;eor;
generiert: 03.04.2024 --  Deutscher Wetterdienst  --
