Stations_ID;Stationsname;Geo. Laenge [Grad];Geo. Breite [Grad];Stationshoehe [m];Geberhoehe ueber Grund [m];Von_Datum;Bis_Datum;Geraetetyp Name;Messverfahren;eor;
853;Chemnitz;12.89;50.81;357;5.5;18820101;18821231;Psychrometerthermometer (trocken);Temperatur/Feuchtemessung, konv.;eor;
853;Chemnitz;12.89;50.81;357;4.4;18830101;18851231;Psychrometerthermometer (trocken);Temperatur/Feuchtemessung, konv.;eor;
853;Chemnitz;12.89;50.81;357;2;18861201;19090630;Psychrometerthermometer (trocken);Temperatur/Feuchtemessung, konv.;eor;
853;Chemnitz;12.89;50.81;357;2.5;19090701;19341231;Psychrometerthermometer (trocken);Temperatur/Feuchtemessung, konv.;eor;
853;Chemnitz;12.89;50.81;357;2;19280401;19341231;Psychrometerthermometer (trocken);Temperatur/Feuchtemessung, konv.;eor;
853;Chemnitz;12.89;50.81;357;2;19350101;19450228;Psychrometerthermometer (trocken);Temperatur/Feuchtemessung, konv.;eor;
853;Chemnitz;12.89;50.81;357;2.5;19350101;19360331;Psychrometerthermometer (trocken);Temperatur/Feuchtemessung, konv.;eor;
853;Chemnitz;12.89;50.81;357;2;19460521;19760506;Psychrometerthermometer (trocken);Temperatur/Feuchtemessung, konv.;eor;
853;Chemnitz;12.87;50.79;416.11;2;19760507;20060426;Psychrometerthermometer (trocken);Temperatur/Feuchtemessung, konv.;eor;
853;Chemnitz;12.87;50.79;416.11;2;19810301;19860818;PT 100 (Luft);Temperaturmessung, elektr.;eor;
853;Chemnitz;12.87;50.79;416.11;2;19870507;19870524;PT 100 (Luft);Temperaturmessung, elektr.;eor;
853;Chemnitz;12.87;50.79;416.11;2;19870729;19870730;PT 100 (Luft);Temperaturmessung, elektr.;eor;
853;Chemnitz;12.87;50.79;416.11;2;19871111;19871128;PT 100 (Luft);Temperaturmessung, elektr.;eor;
853;Chemnitz;12.87;50.79;416.11;2;19880517;20240328;PT 100 (Luft);Temperaturmessung, elektr.;eor;
generiert: 03.04.2024 --  Deutscher Wetterdienst  --
